time	I(Lcoil)
0.000000000000000e+000	1.874999e-002
1.004000001576911e-012	1.874999e-002
1.507996372647620e-010	1.874998e-002
3.005952745279471e-010	1.874997e-002
4.503909117911321e-010	1.874996e-002
6.001865490543173e-010	1.874996e-002
7.499821863175024e-010	1.874995e-002
8.997778235806874e-010	1.874995e-002
1.049573460843872e-009	1.874994e-002
2.098150921697313e-009	1.874992e-002
4.195305843404194e-009	1.874990e-002
8.389615686817956e-009	1.874989e-002
1.677823537364548e-008	1.874989e-002
3.355547474730053e-008	1.874988e-002
6.710995349461063e-008	1.874987e-002
1.074150419847785e-007	1.874986e-002
1.429967015186784e-007	1.874985e-002
1.809088068246132e-007	1.874983e-002
2.206651138144768e-007	1.874983e-002
2.466549402761959e-007	1.874982e-002
2.739482847073920e-007	1.874981e-002
3.047202045577690e-007	1.874981e-002
3.479713174342303e-007	1.874980e-002
3.833618802063291e-007	1.874979e-002
4.335328320056807e-007	1.874978e-002
4.865860812101708e-007	1.874978e-002
5.518507763551843e-007	1.874977e-002
6.300242243270590e-007	1.874976e-002
7.300242243270590e-007	1.874975e-002
8.300242243270590e-007	1.874974e-002
9.300242243270590e-007	1.874973e-002
1.030024224327059e-006	1.874973e-002
1.130024224327059e-006	1.874972e-002
1.230024224327059e-006	1.874972e-002
1.330024224327059e-006	1.874971e-002
1.530024224327060e-006	1.874971e-002
1.730024224327060e-006	1.874970e-002
2.030024224327060e-006	1.874970e-002
2.244309938612774e-006	1.874969e-002
2.458595652898488e-006	1.874969e-002
2.672881367184202e-006	1.874969e-002
2.887167081469916e-006	1.874969e-002
3.101452795755630e-006	1.874969e-002
3.315738510041344e-006	1.874969e-002
3.530024224327058e-006	1.874969e-002
4.415738510041345e-006	1.874968e-002
5.301452795755633e-006	1.874968e-002
6.187167081469921e-006	1.874968e-002
7.072881367184209e-006	1.874968e-002
7.958595652898496e-006	1.874968e-002
8.844309938612785e-006	1.874967e-002
9.730024224327070e-006	1.874967e-002
1.214430993861278e-005	1.874967e-002
1.455859565289848e-005	1.874966e-002
1.697288136718418e-005	1.874966e-002
1.938716708146989e-005	1.874966e-002
2.180145279575560e-005	1.874965e-002
2.421573851004130e-005	1.874965e-002
2.663002422432700e-005	1.874964e-002
2.673002422432700e-005	1.874964e-002
3.100145279575566e-005	1.874964e-002
3.527288136718432e-005	1.874963e-002
3.954430993861298e-005	1.874962e-002
4.381573851004164e-005	1.874961e-002
4.808716708147030e-005	1.874961e-002
5.235859565289896e-005	1.874960e-002
5.663002422432760e-005	1.874959e-002
5.673002422432760e-005	1.874959e-002
6.100145279575628e-005	1.874958e-002
6.527288136718496e-005	1.874958e-002
6.954430993861363e-005	1.874957e-002
7.381573851004232e-005	1.874957e-002
7.808716708147099e-005	1.874956e-002
8.235859565289966e-005	1.874955e-002
8.663002422432833e-005	1.874954e-002
8.673002422432833e-005	1.874954e-002
8.862573504942428e-005	1.874954e-002
9.052144587452023e-005	1.874954e-002
9.241715669961619e-005	1.874954e-002
9.431286752471214e-005	1.874953e-002
9.620857834980809e-005	1.874953e-002
9.810428917490404e-005	1.874953e-002
9.999999999999999e-005	1.874952e-002
1.000060000000000e-004	1.874952e-002
1.000070527024120e-004	2.009455e-002
1.000078108457306e-004	2.450391e-002
1.000085383357831e-004	3.223410e-002
1.000086459917694e-004	3.354481e-002
1.000088613037421e-004	3.616624e-002
1.000092919276875e-004	4.140908e-002
1.000100000000000e-004	5.002986e-002
1.000102124216938e-004	5.261609e-002
1.000104956506188e-004	5.606440e-002
1.000110621084688e-004	6.296102e-002
1.000121950241688e-004	7.675424e-002
1.000144608555688e-004	1.043406e-001
1.000189925183689e-004	1.595133e-001
1.000280558439691e-004	2.698579e-001
1.000461824951694e-004	4.905451e-001
1.000656683570846e-004	7.277775e-001
1.000860674417697e-004	9.761241e-001
1.001143076701183e-004	1.319925e+000
1.001475049624183e-004	1.724066e+000
1.001813597217763e-004	2.136200e+000
1.002254655055017e-004	2.673108e+000
1.002808430408113e-004	3.347202e+000
1.003512440606232e-004	4.204129e+000
1.004356158623605e-004	5.231047e+000
1.005356158623605e-004	6.448096e+000
1.006356158623605e-004	7.665054e+000
1.007356158623605e-004	8.881918e+000
1.008356158623605e-004	1.009869e+001
1.009356158623605e-004	1.131536e+001
1.010356158623605e-004	1.253195e+001
1.011356158623605e-004	1.374844e+001
1.012356158623605e-004	1.496484e+001
1.013356158623605e-004	1.618115e+001
1.014356158623605e-004	1.739737e+001
1.015356158623605e-004	1.861350e+001
1.016356158623605e-004	1.982955e+001
1.017356158623605e-004	2.104550e+001
1.018356158623605e-004	2.226136e+001
1.019356158623605e-004	2.347713e+001
1.020356158623605e-004	2.469282e+001
1.022356158623605e-004	2.712392e+001
1.024356158623605e-004	2.955468e+001
1.026356158623605e-004	3.198507e+001
1.028356158623605e-004	3.441512e+001
1.031356158623606e-004	3.805954e+001
1.034356158623606e-004	4.170317e+001
1.037356158623606e-004	4.534602e+001
1.040356158623606e-004	4.898808e+001
1.043356158623606e-004	5.262936e+001
1.046356158623606e-004	5.626985e+001
1.049356158623606e-004	5.990956e+001
1.052356158623606e-004	6.354849e+001
1.055356158623606e-004	6.718664e+001
1.058356158623606e-004	7.082400e+001
1.062070444337892e-004	7.532632e+001
1.065784730052178e-004	7.982743e+001
1.069499015766464e-004	8.432735e+001
1.073213301480749e-004	8.882607e+001
1.076927587195035e-004	9.332358e+001
1.080641872909321e-004	9.781989e+001
1.084356158623607e-004	1.023150e+002
1.089356158623607e-004	1.083642e+002
1.094356158623607e-004	1.144112e+002
1.099356158623607e-004	1.204561e+002
1.104356158623607e-004	1.264987e+002
1.109356158623607e-004	1.325391e+002
1.114356158623608e-004	1.385774e+002
1.119356158623608e-004	1.446135e+002
1.121784730052179e-004	1.475445e+002
1.124213301480751e-004	1.504750e+002
1.126641872909322e-004	1.534049e+002
1.129070444337894e-004	1.563344e+002
1.131499015766465e-004	1.592633e+002
1.133927587195037e-004	1.621917e+002
1.136356158623608e-004	1.651196e+002
1.137356158623608e-004	1.663250e+002
1.145356158623608e-004	1.759654e+002
1.153356158623608e-004	1.856002e+002
1.161356158623609e-004	1.952292e+002
1.169356158623609e-004	2.048525e+002
1.177356158623609e-004	2.144701e+002
1.185356158623609e-004	2.240820e+002
1.193356158623609e-004	2.336882e+002
1.204641872909324e-004	2.472301e+002
1.215927587195039e-004	2.607605e+002
1.227213301480753e-004	2.742792e+002
1.238499015766468e-004	2.877864e+002
1.249784730052182e-004	3.012821e+002
1.261070444337897e-004	3.147662e+002
1.272356158623611e-004	3.282387e+002
1.288356158623612e-004	3.473191e+002
1.304356158623612e-004	3.663756e+002
1.320356158623612e-004	3.854083e+002
1.336356158623613e-004	4.044171e+002
1.352356158623613e-004	4.234020e+002
1.368356158623614e-004	4.423632e+002
1.384356158623614e-004	4.613004e+002
1.391784730052185e-004	4.700844e+002
1.399213301480757e-004	4.788632e+002
1.406641872909329e-004	4.876366e+002
1.414070444337900e-004	4.964048e+002
1.421499015766472e-004	5.051678e+002
1.428927587195044e-004	5.139255e+002
1.436356158623615e-004	5.226780e+002
1.437356158623615e-004	5.238558e+002
1.463356158623616e-004	5.544461e+002
1.489356158623617e-004	5.849701e+002
1.515356158623617e-004	6.154278e+002
1.541356158623618e-004	6.458191e+002
1.567356158623618e-004	6.761440e+002
1.593356158623619e-004	7.064025e+002
1.619356158623620e-004	7.365947e+002
1.636070444337906e-004	7.559678e+002
1.652784730052192e-004	7.753124e+002
1.669499015766478e-004	7.946286e+002
1.686213301480764e-004	8.139163e+002
1.702927587195050e-004	8.331756e+002
1.719641872909336e-004	8.524065e+002
1.736356158623623e-004	8.716089e+002
1.737356158623623e-004	8.727568e+002
1.780070444337909e-004	9.216978e+002
1.822784730052196e-004	9.704441e+002
1.865499015766483e-004	1.018996e+003
1.908213301480770e-004	1.067352e+003
1.950927587195056e-004	1.115515e+003
1.993641872909343e-004	1.163482e+003
2.036356158623630e-004	1.211255e+003
2.037356158623630e-004	1.212370e+003
2.080070444337917e-004	1.259937e+003
2.122784730052203e-004	1.307297e+003
2.165499015766490e-004	1.354449e+003
2.208213301480777e-004	1.401395e+003
2.250927587195064e-004	1.448134e+003
2.293641872909350e-004	1.494665e+003
2.336356158623637e-004	1.540990e+003
2.337356158623637e-004	1.542071e+003
2.380070444337924e-004	1.588178e+003
2.422784730052211e-004	1.634065e+003
2.465499015766498e-004	1.679734e+003
2.508213301480784e-004	1.725185e+003
2.550927587195071e-004	1.770417e+003
2.593641872909358e-004	1.815430e+003
2.636356158623644e-004	1.860224e+003
2.637356158623644e-004	1.861270e+003
2.680070444337931e-004	1.905835e+003
2.722784730052218e-004	1.950171e+003
2.765499015766505e-004	1.994277e+003
2.808213301480791e-004	2.038153e+003
2.850927587195078e-004	2.081800e+003
2.893641872909365e-004	2.125218e+003
2.936356158623652e-004	2.168406e+003
2.937356158623652e-004	2.169415e+003
2.980070444337939e-004	2.212362e+003
3.022784730052225e-004	2.255071e+003
3.065499015766512e-004	2.297540e+003
3.108213301480799e-004	2.339769e+003
3.150927587195086e-004	2.381759e+003
3.193641872909373e-004	2.423510e+003
3.236356158623659e-004	2.465021e+003
3.237356158623659e-004	2.465990e+003
3.280070444337946e-004	2.507251e+003
3.322784730052232e-004	2.548263e+003
3.365499015766519e-004	2.589026e+003
3.408213301480806e-004	2.629541e+003
3.450927587195093e-004	2.669806e+003
3.493641872909380e-004	2.709824e+003
3.536356158623666e-004	2.749592e+003
3.537356158623666e-004	2.750520e+003
3.580070444337953e-004	2.790029e+003
3.622784730052240e-004	2.829281e+003
3.665499015766527e-004	2.868275e+003
3.708213301480813e-004	2.907013e+003
3.750927587195100e-004	2.945493e+003
3.793641872909387e-004	2.983716e+003
3.836356158623674e-004	3.021681e+003
3.837356158623674e-004	3.022567e+003
3.880070444337961e-004	3.060265e+003
3.922784730052247e-004	3.097698e+003
3.965499015766534e-004	3.134867e+003
4.008213301480820e-004	3.171770e+003
4.050927587195107e-004	3.208408e+003
4.093641872909394e-004	3.244782e+003
4.136356158623681e-004	3.280891e+003
4.137356158623681e-004	3.281733e+003
4.180070444337968e-004	3.317566e+003
4.222784730052254e-004	3.353128e+003
