TokaMac Flux Profile Output. From Input FileName: TokIn.dat
    RunName: Shape2. Info: Shape2
    Run started at Monday, Apr 25, 2016 10:12:09 PM
    Run was initialized internally.
    Run ended at   Monday, Apr 25, 2016 10:12:12 PM

i         PsiX         Psi           q           P           G          F         Pp         G2p        dVol         Vol          S         Well         <J>        <B2>
00      0.0001   -0.002634       1.411       265.3       1.001      0.3274  -5.695e+04     -0.3298       23.45           0           0           0   4.265e+05      0.1229
01     0.01062    -0.00255       1.419       260.6       1.001      0.3274  -5.653e+04     -0.3274       23.84      0.2486      0.9622    -0.05427   4.236e+05      0.1228
02     0.02113   -0.002467       1.425       255.9       1.001      0.3274  -5.611e+04      -0.325       23.96         0.5       0.807     0.03319   4.204e+05      0.1228
03     0.03165   -0.002384       1.431       251.2       1.001      0.3274  -5.569e+04     -0.3225       24.02      0.7522      0.7825     0.05906   4.173e+05      0.1229
04     0.04216   -0.002301       1.437       246.6       1.001      0.3274  -5.526e+04       -0.32       24.07       1.005      0.7861     0.04159   4.141e+05      0.1229
05     0.05268   -0.002217       1.443         242       1.001      0.3274  -5.484e+04     -0.3176       24.16       1.259      0.8004     0.03803   4.109e+05       0.123
06     0.06319   -0.002134       1.449       237.5       1.001      0.3274  -5.441e+04     -0.3151       24.25       1.513      0.8058     0.03948   4.077e+05       0.123
07     0.07371   -0.002051       1.455         233       1.001      0.3274  -5.398e+04     -0.3126       24.34       1.769       0.814     0.03938   4.045e+05      0.1231
08     0.08423   -0.001967       1.462       228.5       1.001      0.3273  -5.355e+04     -0.3101       24.43       2.025      0.8205     0.03731   4.013e+05      0.1231
09     0.09474   -0.001884       1.468         224       1.001      0.3273  -5.312e+04     -0.3076       24.54       2.282       0.825     0.03877   3.981e+05      0.1232
10      0.1053   -0.001801       1.475       219.6       1.001      0.3273  -5.269e+04     -0.3051       24.63       2.541      0.8313     0.04026   3.948e+05      0.1232
11      0.1158   -0.001718       1.481       215.3       1.001      0.3273  -5.226e+04     -0.3026       24.73         2.8       0.838     0.03923   3.916e+05      0.1233
12      0.1263   -0.001634       1.488       210.9       1.001      0.3273  -5.182e+04     -0.3001       24.82       3.061      0.8451     0.03952   3.883e+05      0.1233
13      0.1368   -0.001551       1.494       206.6       1.001      0.3273  -5.138e+04     -0.2976       24.93       3.323      0.8516     0.04005    3.85e+05      0.1234
14      0.1473   -0.001468       1.501       202.4       1.001      0.3273  -5.094e+04      -0.295       25.03       3.585       0.858     0.03989   3.818e+05      0.1234
15      0.1578   -0.001384       1.508       198.1       1.001      0.3273   -5.05e+04     -0.2925       25.13       3.849      0.8653      0.0399   3.785e+05      0.1235
16      0.1684   -0.001301       1.515         194       1.001      0.3273  -5.006e+04     -0.2899       25.24       4.114      0.8727     0.04065   3.752e+05      0.1236
17      0.1789   -0.001218       1.522       189.8       1.001      0.3273  -4.962e+04     -0.2873       25.35        4.38      0.8984     0.04336   3.719e+05      0.1236
18      0.1894   -0.001135       1.529       185.7       1.001      0.3273  -4.917e+04     -0.2848       25.46       4.647      0.8803     0.04202   3.685e+05      0.1237
19      0.1999   -0.001051       1.536       181.6       1.001      0.3273  -4.872e+04     -0.2822       25.56       4.915       0.869     0.03955   3.651e+05      0.1237
20      0.2104  -0.0009681       1.543       177.6       1.001      0.3273  -4.827e+04     -0.2796       25.67       5.184      0.9088     0.03988   3.618e+05      0.1238
21      0.2209  -0.0008848       1.551       173.6       1.001      0.3273  -4.782e+04      -0.277       25.78       5.455      0.9171     0.04079   3.584e+05      0.1238
22      0.2314  -0.0008015       1.558       169.6           1      0.3273  -4.737e+04     -0.2743        25.9       5.727      0.9388     0.04572    3.55e+05      0.1239
23       0.242  -0.0007182       1.566       165.7           1      0.3273  -4.692e+04     -0.2717       26.02           6      0.9296     0.04227   3.516e+05      0.1239
24      0.2525  -0.0006349       1.573       161.8           1      0.3273  -4.646e+04     -0.2691       26.13       6.274      0.9139     0.03881   3.482e+05       0.124
25       0.263  -0.0005516       1.581       157.9           1      0.3273    -4.6e+04     -0.2664       26.25       6.549      0.9396     0.02792   3.448e+05       0.124
26      0.2735  -0.0004684       1.589       154.1           1      0.3273  -4.554e+04     -0.2637       26.38       6.826      0.9529     0.04577   3.413e+05      0.1241
27       0.284  -0.0003851       1.597       150.4           1      0.3273  -4.508e+04     -0.2611       26.48       7.104      0.9576     0.06042   3.379e+05      0.1242
28      0.2945  -0.0003018       1.605       146.6           1      0.3273  -4.461e+04     -0.2584       26.61       7.383      0.9686     0.04103   3.344e+05      0.1242
29      0.3051  -0.0002185       1.613       142.9           1      0.3273  -4.415e+04     -0.2557       26.74       7.664       1.006     0.04667   3.309e+05      0.1243
30      0.3156  -0.0001352       1.622       139.3           1      0.3273  -4.368e+04      -0.253       26.87       7.945       0.992     0.04436   3.274e+05      0.1243
31      0.3261  -5.196e-05        1.63       135.6           1      0.3273  -4.321e+04     -0.2502       26.99       8.229      0.9738     0.03911   3.239e+05      0.1244
32      0.3366   3.132e-05       1.639       132.1           1      0.3273  -4.273e+04     -0.2475       27.12       8.513       1.022     0.05043   3.204e+05      0.1244
33      0.3471   0.0001146       1.648       128.5           1      0.3273  -4.226e+04     -0.2447       27.26       8.799       1.023     0.04607   3.168e+05      0.1245
34      0.3576   0.0001979       1.657         125           1      0.3273  -4.178e+04      -0.242       27.39       9.086       1.009    0.009129   3.132e+05      0.1246
35      0.3682   0.0002812       1.665       121.6           1      0.3272   -4.13e+04     -0.2392       27.55       9.375       1.034     0.04448   3.096e+05      0.1245
36      0.3787   0.0003644       1.675       118.2           1      0.3272  -4.082e+04     -0.2364       27.67       9.666       1.081     0.08443    3.06e+05      0.1247
37      0.3892   0.0004477       1.684       114.8           1      0.3272  -4.033e+04     -0.2336       27.81       9.957       1.137     0.05912   3.024e+05      0.1248
38      0.3997    0.000531       1.695       111.4           1      0.3272  -3.985e+04     -0.2308       27.96       10.25       1.039     0.04008   2.988e+05      0.1248
39      0.4102   0.0006143       1.703       108.1           1      0.3272  -3.936e+04     -0.2279        28.1       10.55       1.005     0.03635   2.951e+05      0.1249
40      0.4207   0.0006976       1.713       104.9           1      0.3272  -3.886e+04     -0.2251       28.24       10.84       1.095     0.04784   2.914e+05      0.1249
41      0.4312   0.0007809       1.723       101.7           1      0.3272  -3.837e+04     -0.2222       28.39       11.14       1.106     0.04852   2.877e+05       0.125
42      0.4418   0.0008641       1.733       98.49           1      0.3272  -3.787e+04     -0.2193       28.55       11.44       1.222     0.06465    2.84e+05      0.1251
43      0.4523   0.0009474       1.745       95.36           1      0.3272  -3.737e+04     -0.2164       28.72       11.74       1.131     0.04928   2.803e+05      0.1252
44      0.4628    0.001031       1.754       92.26           1      0.3272  -3.687e+04     -0.2135       28.86       12.04       1.043      0.0345   2.765e+05      0.1252
45      0.4733    0.001114       1.764       89.21           1      0.3272  -3.636e+04     -0.2106       29.02       12.35       1.159      0.0512   2.727e+05      0.1252
46      0.4838    0.001197       1.775       86.21           1      0.3272  -3.585e+04     -0.2076       29.18       12.65       1.171     0.05085   2.689e+05      0.1253
47      0.4943    0.001281       1.786       83.24           1      0.3272  -3.534e+04     -0.2046       29.35       12.96       1.148     -0.3225   2.651e+05      0.1254
48      0.5049    0.001364       1.797       80.32           1      0.3272  -3.482e+04     -0.2017        30.7       13.28        1.22     0.06494   2.617e+05      0.1245
49      0.5154    0.001447       1.809       77.44           1      0.3272   -3.43e+04     -0.1987       29.69       13.59       1.406      0.4492   2.574e+05      0.1256
50      0.5259     0.00153       1.823       74.61           1      0.3272  -3.378e+04     -0.1956        29.9       13.91       1.233     0.05045   2.534e+05      0.1257
51      0.5364    0.001614       1.833       71.82           1      0.3272  -3.325e+04     -0.1926       30.04       14.22       1.101    -0.04652   2.495e+05      0.1257
52      0.5469    0.001697       1.845       69.07           1      0.3272  -3.272e+04     -0.1895       30.28       14.54       1.268     0.04814   2.455e+05      0.1255
53      0.5574     0.00178       1.857       66.37           1      0.3272  -3.219e+04     -0.1864       30.42       14.86       1.303      0.1465   2.415e+05      0.1258
54       0.568    0.001864        1.87       63.71           1      0.3272  -3.165e+04     -0.1833        30.6       15.18       1.302     0.05638   2.376e+05      0.1259
55      0.5785    0.001947       1.883       61.09           1      0.3272  -3.111e+04     -0.1802        30.8        15.5        1.32     0.04597   2.335e+05       0.126
56       0.589     0.00203       1.896       58.53           1      0.3272  -3.057e+04      -0.177          31       15.83        1.34     0.05816   2.294e+05       0.126
57      0.5995    0.002113        1.91          56           1      0.3272  -3.002e+04     -0.1738        31.2       16.15       1.361     0.05959   2.254e+05      0.1261
58        0.61    0.002197       1.924       53.53           1      0.3272  -2.946e+04     -0.1706       31.41       16.48       1.382     0.05934   2.212e+05      0.1262
59      0.6205     0.00228       1.938        51.1           1      0.3272   -2.89e+04     -0.1674       31.62       16.81       1.402     0.06106   2.171e+05      0.1263
60       0.631    0.002363       1.952       48.71           1      0.3272  -2.834e+04     -0.1641       31.83       17.15       1.596      0.1543   2.129e+05      0.1264
61      0.6416    0.002446        1.97       46.38           1      0.3272  -2.777e+04     -0.1608       32.05       17.48       1.444     0.06351   2.086e+05      0.1267
62      0.6521     0.00253       1.982       44.09           1      0.3272   -2.72e+04     -0.1575       32.28       17.82         1.3     -0.1173   2.044e+05      0.1265
63      0.6626    0.002613       1.998       41.85           1      0.3272  -2.662e+04     -0.1542       32.57       18.16       1.497     0.06604       2e+05      0.1264
