TokaMac Conductors Output. From Input FileName: TokIn.dat
    RunName: Shape2. Info: Shape2
    Run started at Tuesday, May 17, 2016 01:19:57 PM
    Run was initialized internally.

Coil Set OH_Coil On/Off = 1 Coil Current = -11670 (A)
    SubCoil                  X         Z        Current
                OHT1     0.660     0.701     -11669.9983
                OHT2     0.640     0.719     -11669.9983
                 OH1     0.257     0.300     -11669.9983
                 OH2     0.257     0.215     -11669.9983
                 OH3     0.257     0.129     -11669.9983
                 OH4     0.257     0.043     -11669.9983
                 OH5     0.257    -0.043     -11669.9983
                 OH6     0.257    -0.129     -11669.9983
                 OH7     0.257    -0.215     -11669.9983
                 OH8     0.257    -0.300     -11669.9983
                OHB1     0.660    -0.701     -11669.9983
                OHB2     0.640    -0.719     -11669.9983

Coil Set VF_Coil On/Off = 1 Coil Current = -2280.32 (A)
    SubCoil                  X         Z        Current
                VFT1     1.590     0.665     -2280.3246
                VFT2     1.590     0.635     -2280.3246
                VFT3     1.550     0.665     -2280.3246
                VFT4     1.550     0.635     -2280.3246
               VFin1     0.257     0.452      2280.3246
               VFin2     0.257     0.433      2280.3246
               VFin3     0.257     0.414      2280.3246
               VFin4     0.257     0.395      2280.3246
               VFin5     0.257     0.376      2280.3246
               VFin6     0.257     0.357      2280.3246
                VFB1     1.590    -0.665     -2280.3246
                VFB2     1.590    -0.635     -2280.3246
                VFB3     1.550    -0.665     -2280.3246
                VFB4     1.550    -0.635     -2280.3246
              VFin1b     0.257    -0.452      2280.3246
              VFin2b     0.257    -0.433      2280.3246
              VFin3b     0.257    -0.414      2280.3246
              VFin4b     0.257    -0.395      2280.3246
              VFin5b     0.257    -0.376      2280.3246
              VFin6b     0.257    -0.357      2280.3246

Coil Set SH_Coil On/Off = 1 Coil Current = 0.172946 (A)
    SubCoil                  X         Z        Current
                 SH1     0.679     0.056        -0.1729
                 SH2     0.682     0.069        -0.1729
                 SH3     0.704     0.124         0.1729
                 SH4     0.710     0.136         0.1729
                 SH5     0.692     0.130         0.1729
                 SH6     0.698     0.142         0.1729
                 SH7     0.739     0.187        -0.1729
                 SH8     0.748     0.198        -0.1729

