TokaMac Flux Profile Output. From Input FileName: TokIn.dat
    RunName: Shape2. Info: Shape2
    Run started at Tuesday, May 17, 2016 01:19:57 PM
    Run was initialized internally.
    Run ended at   Tuesday, May 17, 2016 01:20:01 PM

i         PsiX         Psi           q           P           G          F         Pp         G2p        dVol         Vol          S         Well         <J>        <B2>
00      0.0001    0.007088        1.65       546.7      0.9973      0.2955  -9.255e+04      0.9267       30.76           0           0           0    3.25e+05      0.1002
01     0.01062    0.007193       1.658       536.9      0.9973      0.2956  -9.187e+04      0.9198       30.83      0.3239      0.9978    -0.03377   3.235e+05         0.1
02     0.02113    0.007299       1.667       527.3      0.9974      0.2956  -9.118e+04       0.913       30.95      0.6487       1.002      0.1003   3.209e+05      0.1001
03     0.03165    0.007404       1.676       517.7      0.9974      0.2956  -9.049e+04      0.9061       31.08      0.9749        1.01      0.1015   3.182e+05      0.1002
04     0.04216     0.00751       1.685       508.2      0.9975      0.2956  -8.981e+04      0.8992       31.22       1.302       1.018     0.09988   3.155e+05      0.1003
05     0.05268    0.007616       1.694       498.7      0.9975      0.2956  -8.911e+04      0.8923       31.38       1.632       1.023     0.09956   3.129e+05      0.1004
06     0.06319    0.007721       1.703       489.3      0.9975      0.2956  -8.842e+04      0.8853       31.52       1.962       1.031      0.1054   3.102e+05      0.1005
07     0.07371    0.007827       1.713         480      0.9976      0.2956  -8.772e+04      0.8784       31.63       2.294        1.04      0.1071   3.075e+05      0.1006
08     0.08423    0.007932       1.722       470.8      0.9976      0.2957  -8.703e+04      0.8714       31.77       2.628       1.047      0.1044   3.048e+05      0.1008
09     0.09474    0.008038       1.731       461.7      0.9977      0.2957  -8.633e+04      0.8644       31.91       2.962       1.054      0.1046   3.021e+05      0.1009
10      0.1053    0.008144       1.741       452.6      0.9977      0.2957  -8.562e+04      0.8573       32.06       3.299       1.062      0.1047   2.994e+05       0.101
11      0.1158    0.008249       1.751       443.6      0.9978      0.2957  -8.492e+04      0.8503       32.21       3.637        1.07      0.1054   2.967e+05      0.1011
12      0.1263    0.008355       1.761       434.6      0.9978      0.2957  -8.421e+04      0.8432       32.35       3.976       1.079      0.1063    2.94e+05      0.1012
13      0.1368     0.00846       1.771       425.8      0.9979      0.2957   -8.35e+04       0.836       32.51       4.317       1.087      0.1066   2.913e+05      0.1013
14      0.1473    0.008566       1.781         417      0.9979      0.2957  -8.278e+04      0.8289       32.66        4.66       1.095      0.1074   2.885e+05      0.1014
